x,y,z,Rx,Ry,Rz,Re,tx_gain_h_9p650GHz,tx_phase_h_9p650GHz,tx_gain_v_9p650GHz,tx_phase_v_9p650GHz
0.0,0.0,0.0,0.5000000000000018,0.0,0.0,0.0,-80.935333252,33.5836410522,-20.0612659454,-75.1343612671
0.0,0.0,0.0,0.6000000000000019,0.0,0.0,0.0,-80.6617889404,38.4372138977,-20.2420387268,-81.8609466553
0.0,0.0,0.0,0.700000000000002,0.0,0.0,0.0,-82.0264053345,36.4715652466,-20.5271911621,-88.9214706421
0.0,0.0,0.0,0.800000000000002,0.0,0.0,0.0,-80.1117248535,20.2863025665,-20.7992115021,-95.7583312988
0.0,0.0,0.0,0.9000000000000021,0.0,0.0,0.0,-81.6477279663,22.7607784271,-21.1646232605,-102.873100281
0.0,0.0,0.0,1.0000000000000022,0.0,0.0,0.0,-82.377166748,44.4805603027,-21.5992279053,-110.062957764
0.0,0.0,0.0,1.1000000000000023,0.0,0.0,0.0,-81.4670715332,35.7067489624,-22.0040969849,-116.967987061
0.0,0.0,0.0,1.2000000000000024,0.0,0.0,0.0,-83.0638275146,30.5861244202,-22.5157241821,-123.60546875
0.0,0.0,0.0,1.3000000000000025,0.0,0.0,0.0,-83.4995422363,20.4038410187,-23.077922821,-131.039215088
0.0,0.0,0.0,1.4000000000000026,0.0,0.0,0.0,-83.2868652344,16.1756305695,-23.7862758636,-138.934326172
0.0,0.0,0.0,1.5000000000000027,0.0,0.0,0.0,-83.1804199219,23.7253360748,-24.4387512207,-146.128967285
0.0,0.0,0.0,2.0,0.0,0.0,0.0,-80.741645813,35.6260566711,-29.5700683594,166.913803101
0.0,0.0,0.0,2.5,0.0,0.0,0.0,-79.8037490845,10.6131839752,-35.6648406982,78.3093185425
0.0,0.0,0.0,3.0,0.0,0.0,0.0,-77.621131897,-13.3643264771,-31.2741336823,-11.6381750107
0.0,0.0,0.0,3.5,0.0,0.0,0.0,-78.2664794922,-31.0809268951,-27.7023582458,-58.6858062744
0.0,0.0,0.0,4.0,0.0,0.0,0.0,-79.6744689941,-53.1212081909,-26.2489566803,-95.6686477661
0.0,0.0,0.0,4.5,0.0,0.0,0.0,-82.0263366699,-89.5147018433,-26.3367595673,-132.314834595
0.0,0.0,0.0,5.0,0.0,0.0,0.0,-87.0341110229,-105.073356628,-27.581029892,-169.50831604
0.0,0.0,0.0,5.5,0.0,0.0,0.0,-95.2739639282,-16.5635566711,-29.7789268494,151.423431396
